,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
589,1.6,10000,100,262196.02,146004.089,17868.423,178.684,58148.634,581.486
590,1.6,10000,150,384951.58,256515.075,-15920.338,-106.136,25843.247,172.288
591,1.6,10000,200,521487.02,380959.717,-55030.329,-275.152,3142.516,15.713
592,1.6,10000,500,1274460.42,1110942.111,-314404.349,-628.809,-232251.029,-464.502
593,1.6,10000,1000,2538019.76,2345831.217,-759568.867,-759.569,-664078.626,-664.079
594,1.7000000000000002,10,5,20.24,9.634,2.272,0.454,9.603,1.921
595,1.7000000000000002,10,10,36.02,21.264,-0.076,-0.008,10.981,1.098
596,1.7000000000000002,10,20,67.44,41.497,-1.826,-0.091,15.191,0.76
597,1.7000000000000002,10,50,158.32,114.333,-21.204,-0.424,-0.137,-0.003
598,1.7000000000000002,10,100,305.12,239.26,-59.778,-0.598,-24.555,-0.246
599,1.7000000000000002,10,150,461.94,375.202,-103.472,-0.69,-51.679,-0.345
600,1.7000000000000002,10,200,614.72,514.209,-152.609,-0.763,-92.631,-0.463
601,1.7000000000000002,10,500,1510.86,1378.615,-489.874,-0.98,-408.168,-0.816
602,1.7000000000000002,10,1000,2995.94,2849.97,-1087.653,-1.088,-937.375,-0.937
603,1.7000000000000002,20,5,34.74,15.362,5.074,1.015,23.82,4.764
604,1.7000000000000002,20,10,65.58,32.236,6.341,0.634,29.203,2.92
605,1.7000000000000002,20,20,129.74,71.089,5.229,0.261,38.253,1.913
606,1.7000000000000002,20,50,297.36,186.769,-11.852,-0.237,35.812,0.716
607,1.7000000000000002,20,100,575.26,427.764,-89.376,-0.894,4.431,0.044
608,1.7000000000000002,20,150,851.12,664.751,-164.092,-1.094,-86.393,-0.576
609,1.7000000000000002,20,200,1134.84,937.826,-270.273,-1.351,-162.1,-0.81
610,1.7000000000000002,20,500,2769.72,2514.859,-885.612,-1.771,-714.887,-1.43
611,1.7000000000000002,20,1000,5517.08,5226.094,-1980.753,-1.981,-1784.48,-1.784
612,1.7000000000000002,30,5,55.26,18.189,14.317,2.863,37.897,7.579
613,1.7000000000000002,30,10,96.5,43.247,13.518,1.352,42.29,4.229
614,1.7000000000000002,30,20,193.5,98.17,15.654,0.783,60.879,3.044
615,1.7000000000000002,30,50,415.32,261.953,-17.647,-0.353,50.659,1.013
616,1.7000000000000002,30,100,850.2,611.863,-111.746,-1.117,-2.196,-0.022
617,1.7000000000000002,30,150,1232.52,959.638,-234.626,-1.564,-97.945,-0.653
618,1.7000000000000002,30,200,1601.32,1294.068,-352.115,-1.761,-244.13,-1.221
619,1.7000000000000002,30,500,4062.06,3570.99,-1181.543,-2.363,-985.035,-1.97
620,1.7000000000000002,30,1000,8044.44,7301.783,-2569.759,-2.57,-2370.666,-2.371
621,1.7000000000000002,40,5,73.38,25.715,17.45,3.49,56.532,11.306
622,1.7000000000000002,40,10,125.84,57.411,16.612,1.661,78.963,7.896
623,1.7000000000000002,40,20,241.32,120.244,21.709,1.085,129.417,6.471
624,1.7000000000000002,40,50,559.92,337.763,-8.398,-0.168,75.59,1.512
625,1.7000000000000002,40,100,1112.26,780.767,-126.496,-1.265,60.124,0.601
626,1.7000000000000002,40,150,1615.22,1264.029,-313.899,-2.093,-165.809,-1.105
627,1.7000000000000002,40,200,2114.12,1668.934,-425.334,-2.127,-187.013,-0.935
628,1.7000000000000002,40,500,5361.38,4728.377,-1574.624,-3.149,-1293.872,-2.588
629,1.7000000000000002,40,1000,10517.72,9753.377,-3566.483,-3.566,-3149.431,-3.149
630,1.7000000000000002,50,5,86.48,29.761,21.11,4.222,70.034,14.007
631,1.7000000000000002,50,10,157.02,63.001,29.364,2.936,76.187,7.619
632,1.7000000000000002,50,20,298.84,141.949,33.839,1.692,109.208,5.46
633,1.7000000000000002,50,50,692.3,418.134,-10.898,-0.218,99.53,1.991
634,1.7000000000000002,50,100,1351.08,933.215,-138.462,-1.385,57.242,0.572
635,1.7000000000000002,50,150,2002.52,1527.158,-349.205,-2.328,-146.959,-0.98
636,1.7000000000000002,50,200,2690.84,2161.882,-579.035,-2.895,-340.943,-1.705
637,1.7000000000000002,50,500,6666.22,5872.462,-1951.156,-3.902,-1573.291,-3.147
638,1.7000000000000002,50,1000,13134.5,12062.176,-4335.999,-4.336,-3969.927,-3.97
639,1.7000000000000002,100,5,192.42,63.149,50.039,10.008,137.542,27.508
640,1.7000000000000002,100,10,318.96,114.062,73.561,7.356,176.065,17.607
641,1.7000000000000002,100,20,581.28,242.105,99.825,4.991,261.355,13.068
642,1.7000000000000002,100,50,1381.54,756.627,56.043,1.121,352.805,7.056
643,1.7000000000000002,100,100,2694.06,1800.08,-215.339,-2.153,116.459,1.165
644,1.7000000000000002,100,150,3968.0,3018.606,-684.489,-4.563,-267.273,-1.782
645,1.7000000000000002,100,200,5228.74,4147.736,-1072.006,-5.36,-649.016,-3.245
646,1.7000000000000002,100,500,12923.76,11540.993,-3938.781,-7.878,-3337.994,-6.676
647,1.7000000000000002,100,1000,25639.24,23936.045,-8854.139,-8.854,-7675.532,-7.676
648,1.7000000000000002,200,5,354.62,101.744,106.856,21.371,256.048,51.21
649,1.7000000000000002,200,10,590.08,184.511,162.595,16.259,386.163,38.616
650,1.7000000000000002,200,20,1209.4,450.559,260.853,13.043,643.167,32.158
651,1.7000000000000002,200,50,2703.74,1446.385,144.05,2.881,610.098,12.202
652,1.7000000000000002,200,100,5263.52,3551.971,-455.783,-4.558,103.823,1.038
653,1.7000000000000002,200,150,7737.72,5798.441,-1246.841,-8.312,-227.537,-1.517
654,1.7000000000000002,200,200,10562.12,8415.608,-2202.596,-11.013,-1050.823,-5.254
655,1.7000000000000002,200,500,25711.16,23005.087,-7880.876,-15.762,-6649.388,-13.299
